0,11,奥川　恭伸
1,12,石山　泰稚
2,13,中尾　輝
3,14,高梨　裕稔
4,15,大下　佑馬
5,16,原　樹理
6,17,清水　昇
7,18,寺島　成輝
8,19,石川　雅規
9,20,近藤　一樹
10,24,星　知弥
11,25,イノーア
12,26,坂本　光士郎
13,28,吉田　大喜
14,29,小川　泰弘
15,33,クック
16,34,山田　大樹
17,35,杉山　晃基
18,37,マクガフ
19,38,梅野　雄吾
20,40,市川　悠太
21,43,スアレス
22,44,大西　広樹
23,47,高橋　奎二
24,48,金久保　優斗
25,53,五十嵐　亮太
26,54,中澤　雅人
27,56,鈴木　裕太
28,61,久保　拓眞
29,62,田川　賢吾
30,64,風張　蓮
31,67,平井　諒
32,68,山中　浩史
33,69,今野　龍太
34,90,長谷川　宙輝
35,99,蔵本　治孝
36,30,西田　明央
37,32,松本　直樹
38,45,嶋　基宏
39,52,中村　悠平
40,57,古賀　優大
41,59,大村　孟
42,63,井野　卓
43,00,奥村　展征
44,0,藤井　亮太
45,1,山田　哲人
46,2,エスコバー
47,3,西浦　直亨
48,5,川端　慎吾
49,10,荒木　貴裕
50,36,廣岡　大志
51,39,宮本　丈
52,46,太田　賢吾
53,55,村上　宗隆
54,58,長岡　秀樹
55,60,武岡　龍世
56,66,吉田　大成
57,8,中山　翔太
58,9,塩見　泰隆
59,23,青木　宣親
60,31,山崎　晃大朗
61,41,雄平
62,42,坂口　智隆
63,49,渡邉　大樹
64,50,上田　剛史
65,51,濱田　太貴
66,65,田代　将太郎
67,119,ジュリアス
68,118,内山　太嗣
69,117,松本　友
